Method,Type,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Overfitting,Performance_Category
GNN GTVC GAT cosine,GNN-based,0.8491229140198042,0.8411852894722379,0.2104879985935443,0.35752943324584185,0.06540771379785709,0.11398485500564103,0.007937624547566302,Excellent
GNN GTVC GCN gaussian,GNN-based,0.8724756431632238,0.8231945018642116,0.19351394465440283,0.37723703251719265,0.05528391922502079,0.1268972439784477,0.04928114129901218,Excellent
GNN GTWR GAT dot product,GNN-based,0.8383404509853434,0.8104242242959538,0.21787950320468522,0.39062304186435265,0.0700820899737501,0.1360627566199558,0.027916226689389534,Excellent
GNN GTWR GCN cosine,GNN-based,0.8412339110678276,0.7981824967207101,0.21592084349267848,0.40303786664268554,0.06882772714104339,0.14484891715915094,0.04305141434711757,Good
ML Lasso,Traditional,0.0,-0.2256617546081543,0.5418957048748189,0.9932344274809961,0.3880707919597626,0.761048436164856,0.2256617546081543,Poor
OLS,Traditional,0.017424046993255615,-0.3225322961807251,0.5371539565571194,1.031738396792173,0.3890196979045868,0.7929311394691467,0.3399563431739807,Poor
ML Ridge,Traditional,0.1412266492843628,-0.6101337671279907,0.5021748628195403,1.1384066604931435,0.36648744344711304,0.8651381731033325,0.7513604164123535,Poor
ML SVR,Traditional,0.34235020555240026,-0.6123193221414012,0.4394536233200499,1.1391790009508582,0.271909155103425,0.8580073929055805,0.9546695276938014,Poor
ML Random Forest,Traditional,0.8641165962427566,-0.7548972524298008,0.19975557722362972,1.1884811241084687,0.1367822342773647,0.8960336916496411,1.6190138486725574,Poor
ML Gradient Boosting,Traditional,0.685183504057074,-0.8181919701324487,0.3040496064418103,1.2097240345119153,0.22541197734226914,0.9201341782779234,1.5033754741895227,Poor
GWR,Traditional,0.2215455436005087,-0.865367989610184,0.4781149347404422,1.2253176841026596,0.3506868370096276,0.9488455595488278,1.0869135332106927,Poor
ML MLP,Traditional,0.853871762752533,-0.9428387880325317,0.2071489863035042,1.2505032480007792,0.09478408843278885,0.9634095430374146,1.7967105507850647,Poor
GTWR,Traditional,0.26799590061099776,-1.1779035182095572,0.46363099480927594,1.3239932156658756,0.335777718094166,1.0165616221624816,1.445899418820555,Poor
