Province,Date,Year,Month,Month_Name,Period,Latitude,Longitude,HargaPangan_Bawang_Merah,HargaPangan_Bawang_Merah_Ukuran_Sedang,HargaPangan_Bawang_Putih,HargaPangan_Bawang_Putih_Ukuran_Sedang,HargaPangan_Beras,HargaPangan_Beras_Kualitas_Bawah_I,HargaPangan_Beras_Kualitas_Bawah_II,HargaPangan_Beras_Kualitas_Medium_I,HargaPangan_Beras_Kualitas_Medium_II,HargaPangan_Beras_Kualitas_Super_I,HargaPangan_Beras_Kualitas_Super_II,HargaPangan_Cabai_Merah,HargaPangan_Cabai_Merah_Besar,HargaPangan_Cabai_Merah_Keriting_,HargaPangan_Cabai_Rawit,HargaPangan_Cabai_Rawit_Hijau,HargaPangan_Cabai_Rawit_Merah,HargaPangan_Daging_Ayam,HargaPangan_Daging_Ayam_Ras_Segar,HargaPangan_Daging_Sapi,HargaPangan_Daging_Sapi_Kualitas_1,HargaPangan_Daging_Sapi_Kualitas_2,HargaPangan_Gula_Pasir,HargaPangan_Gula_Pasir_Kualitas_Premium,HargaPangan_Gula_Pasir_Lokal,HargaPangan_Minyak_Goreng,HargaPangan_Minyak_Goreng_Curah,HargaPangan_Minyak_Goreng_Kemasan_Bermerk_1,HargaPangan_Minyak_Goreng_Kemasan_Bermerk_2,HargaPangan_Telur_Ayam,HargaPangan_Telur_Ayam_Ras_Segar,IHK,Inflasi_MoM,Inflasi_YoY,SEKDA_Kredit_UMKM,SEKDA_Pinjaman_yang_diberikan,SEKDA_Simpanan,SEKDA__Giro,SEKDA__Investasi,SEKDA__Kecil,SEKDA__Konsumsi,SEKDA__Menengah,SEKDA__Mikro,SEKDA__Modal_Kerja,SEKDA__Simpanan_Berjangka,SEKDA__Tabungan
ACEH,2024-01-01,2024,1,January,2024-01,,,40400.0,40400.0,38400.0,38400.0,13750.0,13350.0,13400.0,13450.0,13500.0,14450.0,14200.0,34250.0,40000.0,34250.0,52100.0,52100.0,72375.0,29550.0,29550.0,145850.0,152500.0,117500.0,17900.0,18400.0,17650.0,18200.0,14350.0,20500.0,19750.0,28350.0,28350.0,105.37,0.42,2.12,11743766.0,49645035.0,39984344.0,5471307.0,9930190.0,4600398.0,28180988.0,1808001.0,5335367.0,11533857.0,11006195.0,23506843.0
ACEH,2024-02-01,2024,2,February,2024-02,,,37500.0,37500.0,37900.0,37900.0,13850.0,13350.0,13450.0,13650.0,13650.0,14500.0,14300.0,39350.0,40000.0,39350.0,43400.0,43400.0,45000.0,30650.0,30650.0,145850.0,152500.0,117500.0,18150.0,18750.0,17850.0,18900.0,15900.0,20650.0,20000.0,27650.0,27650.0,106.12,0.71,2.33,11861059.0,49597778.0,39427892.0,6448370.0,10028131.0,4698524.0,28375888.0,1820286.0,5342249.0,11193759.0,10619461.0,22360060.0
ACEH,2024-03-01,2024,3,March,2024-03,,,37900.0,37900.0,37900.0,37900.0,13850.0,13350.0,13400.0,13650.0,13650.0,14550.0,14250.0,71150.0,40000.0,71150.0,55850.0,55850.0,67300.0,37150.0,37150.0,145850.0,152500.0,117500.0,18300.0,19150.0,17900.0,19150.0,16250.0,20900.0,20350.0,31250.0,31250.0,106.63,0.48,3.25,12001965.0,49107562.0,40613930.0,6782100.0,8903797.0,4791520.0,28687226.0,1860764.0,5349680.0,11516539.0,10741083.0,23090747.0
ACEH,2024-04-01,2024,4,April,2024-04,,,41150.0,41150.0,40400.0,40400.0,13800.0,13350.0,13400.0,13650.0,13650.0,14550.0,14250.0,46500.0,40000.0,46500.0,48250.0,48250.0,50525.0,32950.0,32950.0,146650.0,153350.0,120000.0,18400.0,19000.0,18100.0,19250.0,16500.0,20900.0,20350.0,29500.0,29500.0,106.68,0.05,3.14,11925210.0,49432551.0,42199596.0,7818122.0,8747481.0,4762469.0,28718788.0,1834138.0,5328602.0,11966282.0,10757657.0,23623817.0
ACEH,2024-05-01,2024,5,May,2024-05,,,64150.0,64150.0,42250.0,42250.0,14000.0,13400.0,13550.0,14100.0,13950.0,14900.0,14300.0,49500.0,40000.0,49500.0,48500.0,48500.0,52300.0,33600.0,33600.0,150000.0,150000.0,120000.0,19600.0,20250.0,18900.0,19300.0,16400.0,21150.0,20250.0,29450.0,29450.0,106.84,0.15,3.32,12124868.0,49710992.0,42288804.0,7545757.0,8865398.0,4852054.0,28996998.0,1866127.0,5406688.0,11848596.0,11009171.0,23733876.0
ACEH,2024-06-01,2024,6,June,2024-06,,,54400.0,54400.0,41250.0,41250.0,13950.0,13650.0,13250.0,14000.0,13900.0,14800.0,14250.0,58150.0,40000.0,58150.0,47900.0,47900.0,48525.0,36900.0,36900.0,150000.0,150000.0,120000.0,19500.0,20000.0,19000.0,19200.0,16250.0,21000.0,20250.0,30050.0,30050.0,106.87,0.03,3.09,12516034.0,50183494.0,42160640.0,7232566.0,9043889.0,5051977.0,29285490.0,1897165.0,5566892.0,11854115.0,10487525.0,24440548.0
ACEH,2024-07-01,2024,7,July,2024-07,,,46100.0,46100.0,39850.0,39850.0,13800.0,13550.0,13200.0,13650.0,13650.0,14500.0,14250.0,44650.0,40000.0,44650.0,45600.0,45600.0,49500.0,29750.0,29750.0,146650.0,153350.0,120000.0,18750.0,20000.0,18150.0,19000.0,16400.0,20650.0,19900.0,30150.0,30150.0,106.75,-0.11,2.51,12687356.0,50707129.0,43692565.0,8923236.0,9084197.0,5191803.0,29488323.0,1887271.0,5608281.0,12134610.0,10202612.0,24566718.0
ACEH,2024-08-01,2024,8,August,2024-08,,,28250.0,28250.0,38850.0,38850.0,13900.0,13500.0,13300.0,13700.0,13750.0,14700.0,14350.0,35900.0,40000.0,35900.0,47400.0,47400.0,73075.0,26100.0,26100.0,146650.0,153350.0,120000.0,18700.0,20000.0,18100.0,19150.0,16600.0,20750.0,20000.0,28950.0,28950.0,106.86,0.1,2.29,12853392.0,51374463.0,43127640.0,8689267.0,9416975.0,5303009.0,29821210.0,1888180.0,5662203.0,12136278.0,10247264.0,24191109.0
ACEH,2024-09-01,2024,9,September,2024-09,,,25850.0,25850.0,39600.0,39600.0,13900.0,13550.0,13300.0,13650.0,13750.0,14700.0,14400.0,39900.0,40000.0,39900.0,62350.0,62350.0,52125.0,27500.0,27500.0,146650.0,153350.0,120000.0,18750.0,20250.0,18000.0,19250.0,16900.0,20750.0,20000.0,29400.0,29400.0,106.3,-0.52,1.5,13127120.0,51481220.0,43355734.0,8878038.0,9350049.0,5455447.0,30242700.0,1956404.0,5715269.0,11888470.0,10212188.0,24265508.0
ACEH,2024-10-01,2024,10,October,2024-10,,,30900.0,30900.0,40100.0,40100.0,13750.0,13350.0,13050.0,13650.0,13650.0,14500.0,14300.0,25650.0,40000.0,25650.0,47900.0,47900.0,49500.0,31850.0,31850.0,146650.0,153350.0,120000.0,18850.0,20250.0,18150.0,19600.0,17600.0,20900.0,20350.0,28800.0,28800.0,106.21,-0.08,1.69,13215993.0,52306880.0,43612847.0,8917391.0,9514877.0,5548973.0,30587888.0,1902971.0,5764049.0,12204115.0,10312725.0,24382732.0
ACEH,2024-11-01,2024,11,November,2024-11,,,32600.0,32600.0,40250.0,40250.0,13700.0,13300.0,13000.0,13550.0,13550.0,14600.0,14150.0,27150.0,40000.0,27150.0,40400.0,40400.0,45625.0,34150.0,34150.0,146650.0,153350.0,120000.0,18800.0,20150.0,18150.0,20400.0,18600.0,21500.0,21000.0,28750.0,28750.0,106.6,0.37,1.55,13326317.0,52259177.0,44181663.0,8490976.0,9720656.0,5642967.0,30795875.0,1902488.0,5780862.0,11742647.0,10545706.0,25144981.0
ACEH,2024-12-01,2024,12,December,2024-12,,,39150.0,39150.0,42000.0,42000.0,13650.0,13250.0,13000.0,13550.0,13550.0,14450.0,14050.0,24600.0,40000.0,24600.0,38400.0,38400.0,39600.0,31750.0,31750.0,146650.0,153350.0,120000.0,18700.0,19900.0,18150.0,20900.0,19500.0,21650.0,21500.0,27950.0,27950.0,107.21,0.57,2.17,13384549.0,52035055.0,43801842.0,4871444.0,9811876.0,5721295.0,30967721.0,1881904.0,5781350.0,11255458.0,11757407.0,27172991.0
ACEH,2025-01-01,2025,1,January,2025-01,,,44900.0,44900.0,42400.0,42400.0,13800.0,13350.0,13200.0,13700.0,13700.0,14600.0,14150.0,50850.0,40000.0,50850.0,50100.0,50100.0,63500.0,35600.0,35600.0,146650.0,153350.0,120000.0,18750.0,20000.0,18150.0,21000.0,19500.0,21850.0,21650.0,31600.0,31600.0,107.07,-0.13,1.61,13102189.0,51438391.0,41824619.0,6182775.0,9773151.0,5656313.0,30954356.0,1800317.0,5645559.0,10710884.0,10646269.0,24995575.0
